,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,2019_MEAN_VALUE
98,El Paso County,303131,304905,305748,306168,306778,308320,310588,313299,316080,318008,318753,319659,310953.0833333333
105,Denver County,466591,466551,465246,464257,463587,464245,464961,466195,466912,466595,465962,466612,465642.8333333333
108,Arapahoe County,399756,400997,403027,404756,405249,405452,406049,405766,406181,405885,407303,409092,404959.4166666667
118,Jefferson County,456781,458267,460072,461860,462117,463420,464410,465641,465802,466541,466356,468202,463289.0833333333
147,Adams County,373957,374331,373930,374020,373124,373849,374562,375452,375606,376107,376611,377881,374952.5
211,Larimer County,408407,409982,411158,411241,410987,410586,412069,413097,414698,414494,415349,416234,412358.5
219,Boulder County,558685,560223,561898,563815,565813,567554,568392,568926,569024,567429,567188,568861,565650.6666666666
224,Douglas County,528121,527316,528898,529787,530994,532041,532992,534545,534875,535437,535402,535552,532163.3333333334
254,Weld County,374992,376131,376404,376473,376271,377286,377887,379213,380169,380741,381529,381868,378247.0
390,Pueblo County,183805,185199,186410,187694,189034,190486,191659,192321,193142,193975,195326,196447,190458.16666666666
423,Mesa County,256154,255789,256568,257704,260279,261721,263149,264280,266622,267991,269485,269977,262476.5833333333
891,Garfield County,415025,413448,413529,417575,420088,421759,421521,423102,424258,425940,425612,425572,420619.0833333333
894,Broomfield County,475857,475616,475370,477304,478557,479669,479162,478881,478640,479422,480388,480063,478244.0833333333
949,Eagle County,572789,574592,572721,570720,568758,569457,573568,577475,578310,577788,578452,582005,574719.5833333334
957,La Plata County,435640,440403,444604,449258,449900,449996,447892,447920,448052,447852,446886,445480,446156.9166666667
1023,Fremont County,231359,232165,232768,233611,235307,238126,238928,241142,242562,245261,243255,239753,237853.08333333334
1144,Montrose County,274332,274943,275693,276691,277661,278775,279956,281077,282110,282668,282345,281499,278979.1666666667
1407,Delta County,249226,249358,249577,249770,250608,251569,252585,253524,254482,255358,254976,254576,252134.08333333334
1485,Morgan County,205439,206479,207473,208379,209601,210792,212026,213182,214417,215656,215974,216100,211293.16666666666
1492,Summit County,629591,632643,637295,640543,643209,645376,648708,649081,648169,648269,649287,651602,643647.75
1577,Montezuma County,255869,256684,257349,257946,258691,259443,260230,260863,261694,262386,261961,261371,259540.58333333334
1658,Routt County,570646,571847,573990,577684,583981,589047,592813,593525,594487,593489,590626,587247,584948.5
1670,Teller County,314908,315815,316708,317757,319354,320913,322707,324136,325707,327204,327152,326998,321613.25
1677,Elbert County,519625,521633,523541,525520,527919,531203,534355,536876,538498,539644,539427,539381,531468.5
1690,Logan County,173127,173780,174337,174935,175596,176294,177032,177688,178330,178857,178542,178229,176395.58333333334
1875,Otero County,94394,94913,95294,95463,95683,96048,96490,96916,97176,97328,96918,96650,96106.08333333333
1923,Chaffee County,373722,375202,376316,377470,379029,380980,383017,385040,387106,389100,388949,388345,382023.0
1962,Pitkin County,1304820,1307475,1310298,1312672,1313004,1314489,1316167,1320602,1323255,1325909,1321212,1317442,1315612.0833333333
2028,Park County,342708,344131,345340,346345,347835,349555,351465,353256,354849,356374,356222,355532,350301.0
2067,Las Animas County,142366,142496,142831,143251,143752,144150,144621,144992,145453,145853,145272,144670,144142.25
2071,Alamosa County,183548,183985,184416,184804,185092,185353,185628,186154,186680,187276,186891,186485,185526.0
2077,Gunnison County,381403,381915,383138,384670,386574,388034,389657,391204,392733,394041,394068,394244,388473.4166666667
2108,Grand County,440449,441692,442383,443901,445973,448361,450396,452161,455274,458744,459494,459181,449834.0833333333
2181,Moffat County,195662,195472,195275,195121,195196,195568,195936,196277,196486,196777,196302,195803,195822.91666666666
2248,Prowers County,88726,88742,88725,88889,89334,89889,90384,90674,90978,91259,91075,90875,89962.5
2276,Archuleta County,316750,318148,319582,320749,322298,323656,325176,326474,327896,329343,329473,329308,324071.0833333333
2280,Rio Grande County,193657,194265,194837,195228,195681,196393,197234,198002,198635,198836,198005,197314,196507.25
2408,Yuma County,174450,175123,175553,176126,177106,178355,179545,180409,181178,181898,181623,181286,178554.33333333334
2476,Clear Creek County,376633,378369,379830,381466,383673,385775,387684,389368,391004,392678,392357,392247,385923.6666666667
2544,Kit Carson County,149980,151853,153236,153180,153172,153317,153666,154197,155156,156266,156637,156667,153943.91666666666
2545,Conejos County,134331,135175,135877,136851,137262,137574,137492,137569,137713,137990,137917,137730,136956.75
2602,San Miguel County,754087,756704,759042,761321,764070,767411,769802,772222,774425,776684,773365,769718,766570.9166666666
2606,Lake County,247126,247839,248786,250023,251173,252406,253850,255237,256645,258002,257951,258062,253091.66666666666
2654,Huerfano County,140274,140520,140779,141230,141867,142793,143578,144355,144621,145127,144286,143648,142756.5
2660,Rio Blanco County,234703,234384,234156,234346,234723,235225,235731,236377,237148,237440,236053,234148,235369.5
2666,Bent County,69165,69705,70015,69861,69725,69893,70209,70604,70866,71100,70866,70576,70215.41666666667
2693,Saguache County,160651,160710,161192,161907,163022,163828,164533,165108,165890,166727,166825,166416,163900.75
2716,Crowley County,70131,70409,70935,71259,71671,72030,72598,73120,73695,74133,74206,74020,72350.58333333333
2732,Lincoln County,134298,135727,136704,137548,138771,139478,140235,141147,142533,143549,143658,142760,139700.66666666666
2733,Gilpin County,359933,361626,362890,363956,365431,367289,368977,370465,372123,373867,373712,373330,367799.9166666667
2762,Washington County,117780,118543,119254,119208,118706,118068,118587,118987,119552,119938,120108,120118,119070.75
2775,Phillips County,152086,152451,152932,153927,155039,155938,156361,156810,157500,158241,158175,157940,155616.66666666666
2777,Ouray County,460661,461980,462935,463851,465552,467368,469112,471056,472790,473409,471646,470068,467535.6666666667
2784,Custer County,238488,239270,239878,240515,241741,243256,244683,245886,246828,246911,245804,244758,243168.16666666666
2804,Baca County,82170,82596,82812,82997,83385,83746,84159,84430,84791,85041,85218,85328,83889.41666666667
2814,Costilla County,108877,109466,109539,109346,109586,110276,110941,111512,112285,112788,112843,113035,110874.5
2836,Sedgwick County,64338,64464,64747,65043,65286,65693,66046,66408,66638,66979,66930,66873,65787.08333333333
2844,Dolores County,168444,168360,167560,167174,168398,170348,171864,171649,170297,169651,168014,166921,169056.66666666666
2849,Cheyenne County,104568,105008,105971,106359,107085,108050,108784,109024,108940,109410,109218,109427,107653.66666666667
2853,Kiowa County,89563,89834,90399,91275,92239,92765,93205,93622,94113,94611,95255,95876,92729.75
2854,Jackson County,176166,174604,172097,171196,170697,171194,172110,173352,174570,174976,174133,173828,173243.58333333334
2858,Hinsdale County,325721,323556,321396,322698,322741,323029,321214,320879,320602,321351,321197,321058,322120.1666666667
2859,Mineral County,279124,280034,280726,281178,281450,281853,282887,283881,284527,283708,282972,282354,282057.8333333333
2860,San Juan County,277933,278749,280070,281925,283916,285820,287364,288976,290686,291971,291932,291397,285894.9166666667
